,OBJECTID_1,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,TOP_TRAFFIC_ACCIDENT_OFFENSE,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,BICYCLE_IND,PEDESTRIAN_IND,HARMFUL_EVENT_SEQ_1,HARMFUL_EVENT_SEQ_2,HARMFUL_EVENT_SEQ_3,ROAD_LOCATION,ROAD_DESCRIPTION,ROAD_CONTOUR,ROAD_CONDITION,LIGHT_CONDITION,TU1_VEHICLE_TYPE,TU1_TRAVEL_DIRECTION,TU1_VEHICLE_MOVEMENT,TU1_DRIVER_ACTION,TU1_DRIVER_HUMANCONTRIBFACTOR,TU1_PEDESTRIAN_ACTION,TU2_VEHICLE_TYPE,TU2_TRAVEL_DIRECTION,TU2_VEHICLE_MOVEMENT,TU2_DRIVER_ACTION,TU2_DRIVER_HUMANCONTRIBFACTOR,TU2_PEDESTRIAN_ACTION,SERIOUSLY_INJURED,FATALITIES,FATALITY_MODE_1,FATALITY_MODE_2,SERIOUSLY_INJURED_MODE_1,SERIOUSLY_INJURED_MODE_2,Date,Latitude,Longitude
39181,39182,2013542376.0,201354237654200,5420,0,TRAF - ACCIDENT - DUI/DUID    ,2013-11-10 02:13:00,,2013-11-10 02:50:00,200 BLOCK S BROADWAY ST,3144271.0,1684922.0,-104.987181818,39.7127947977,3.0,311.0,Speer,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,SUV,SOUTH,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,BICYCLE,SOUTH,CHANGING LANES,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-11-10 02:50:00.000000,39.7127947977,-104.987181818
39205,39206,2013501815.0,201350181554200,5420,0,TRAF - ACCIDENT - DUI/DUID    ,2013-10-17 22:38:00.000001,,2013-10-18 01:01:00,20TH ST / BLAKE ST,3142192.0,1700042.0,-104.994272383,39.7543340204,6.0,612.0,Union Station,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,BICYCLE,NORTHWEST,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,PASSENGER CAR/VAN,SOUTHEAST,MAKING RIGHT TURN,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-10-18 01:01:00.000000,39.7543340204,-104.994272383
39339,39340,2013515934.0,201351593454411,5441,1,TRAF - ACCIDENT - SBI         ,2013-10-26 00:28:00,,2013-10-26 00:29:00,E 17TH AVE / N MADISON ST,3155647.0,1696276.0,-104.946500356,39.743780385,2.0,213.0,City Park,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,BICYCLE,NORTH,GOING STRAIGHT,DISREGARD STOP SIGN,DUI/DWAI/DUID,  ,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-10-26 00:29:00.000000,39.743780385,-104.946500356
39430,39431,2013503109.0,201350310954410,5441,0,TRAF - ACCIDENT               ,2013-10-18 17:19:00,,2013-10-18 18:39:00,E 14TH AVE / N ELIZABETH ST,3152910.0,1694292.0,-104.956275453,39.7383793366,2.0,213.0,Congress Park,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,FAILED TO YIELD ROW,DISTRACTED-OTHER,OTHER,BICYCLE,EAST,GOING STRAIGHT,OTHER,NO APPARENT,OTHER,0.0,0.0,  ,  ,  ,  ,2013-10-18 18:39:00.000000,39.7383793366,-104.956275453
39450,39451,2013516728.0,201351672854410,5441,0,TRAF - ACCIDENT               ,2013-10-26 14:25:00,,2013-10-26 15:00:00,N LINCOLN ST / E 16TH AVE,3144511.0,1695445.0,-104.986117164,39.7416787377,6.0,621.0,North Capitol Hill,1.0,0.0,BICYCLE WITH OTHER VEHICLE,FRONT TO SIDE WITH MV IN TRANSPORT,  ,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTHWEST,MAKING RIGHT TURN,FAILED TO YIELD ROW,NO APPARENT,OTHER,BICYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,OTHER,0.0,0.0,  ,  ,  ,  ,2013-10-26 15:00:00.000000,39.7416787377,-104.986117164
39490,39491,2013532786.0,201353278654411,5441,1,TRAF - ACCIDENT - SBI         ,2013-11-04 17:45:00,,2013-11-04 18:25:00,E YALE AVE / S HUDSON ST,3162232.0,1668558.0,-104.923709182,39.6675763946,3.0,323.0,Hampden,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,BICYCLE,WEST,GOING STRAIGHT,CARELESS DRIVING,OTHER,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,2013-11-04 18:25:00.000000,39.6675763946,-104.923709182
39637,39638,2013504718.0,201350471854010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2013-10-19 14:30:00,,2013-10-19 17:36:00,N SHERIDAN BLVD / I70 HWYWB,3125559.0,1710643.0,-105.053243761,39.7836747908,1.0,111.0,Regis,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,HIT AND RUN UNKNOWN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,BICYCLE,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,2013-10-19 17:36:00.000000,39.7836747908,-105.053243761
39712,39713,2013490294.0,201349029454410,5441,0,TRAF - ACCIDENT               ,2013-10-11 08:00:00,,2013-10-11 08:50:00,3100 BLOCK S TAMARAC DR,3168638.0,1665442.0,-104.901027007,39.6589084673,3.0,323.0,Hampden,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,NORTH,GOING STRAIGHT,FAILED TO YIELD ROW,NO APPARENT,  ,PASSENGER CAR/VAN,EAST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-10-11 08:50:00.000000,39.6589084673,-104.901027007
39772,39773,2013519813.0,201351981354410,5441,0,TRAF - ACCIDENT               ,2013-10-28 09:30:00,,2013-10-28 10:00:00,N COLORADO BLVD / E BRUCE RANDOLPH AVE,3157268.0,1703824.0,-104.94057074,39.7644735795,2.0,212.0,Clayton,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,  ,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,MAKING RIGHT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,BICYCLE,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-10-28 10:00:00.000000,39.7644735795,-104.94057074
39820,39821,2013491139.0,201349113954410,5441,0,TRAF - ACCIDENT               ,2013-10-11 17:34:00,,2013-10-11 17:47:00,760 E COLFAX AVE,3146795.0,1694778.0,-104.978009038,39.7398119566,6.0,623.0,Capitol Hill,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,ON PRIVATE PROPERTY,PARKING LOT,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,WEST,GOING STRAIGHT,  ,  ,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,  ,  ,0.0,0.0,  ,  ,  ,  ,2013-10-11 17:47:00.000000,39.7398119566,-104.978009038
39886,39887,2013520621.0,201352062154010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2013-10-28 18:20:00,,2013-10-28 18:22:00,PARK AVEW / BLAKE ST,3143186.0,1701055.0,-104.990716946,39.7570996287,6.0,612.0,Five Points,2.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,WET,DAWN OR DUSK,BICYCLE,NORTH,GOING STRAIGHT,OTHER,OTHER,OTHER,HIT AND RUN UNKNOWN,SOUTH,MAKING RIGHT TURN,OTHER,OTHER,OTHER,0.0,0.0,  ,  ,  ,  ,2013-10-28 18:22:00.000000,39.7570996287,-104.990716946
39897,39898,2013521289.0,201352128954410,5441,0,TRAF - ACCIDENT               ,2013-10-29 05:50:00,,2013-10-29 06:06:00,N DECATUR ST / W 9TH AVE,3134515.0,1691574.0,-105.021734845,39.7312019657,1.0,122.0,Sun Valley,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,WET,DARK-LIGHTED,PASSENGER CAR/VAN,NORTH,MAKING LEFT TURN,FAILED TO YIELD ROW,DISTRACTED-OTHER,  ,BICYCLE,SOUTH,GOING STRAIGHT,OTHER,OTHER,  ,0.0,0.0,  ,  ,  ,  ,2013-10-29 06:06:00.000000,39.7312019657,-105.021734845
39987,39988,2013521469.0,201352146954411,5441,1,TRAF - ACCIDENT - SBI         ,2013-10-29 08:50:00,,2013-10-29 09:12:00,S ADAMS ST / E EVANS AVE,3154973.0,1672481.0,-104.949409959,39.6784695537,3.0,314.0,University Park,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-LEVEL,WET,DAY LIGHT,BICYCLE,WEST,SLOWING,FAILED TO YIELD ROW,OTHER,  ,PICKUP TRUCK/UTILITY VAN,NORTH,MAKING RIGHT TURN,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,2013-10-29 09:12:00.000000,39.6784695537,-104.949409959
40000,40001,2013521844.0,201352184454010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2013-10-29 13:04:00,,2013-10-29 13:04:00,E 1ST AVE / N MILWAUKEE ST,3154099.0,1686924.0,-104.952205631,39.7181331972,3.0,311.0,Cherry Creek,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,PARKING LOT,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,FAILED TO YIELD ROW,OTHER,OTHER,BICYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,OTHER,0.0,0.0,  ,  ,  ,  ,2013-10-29 13:04:00.000000,39.7181331972,-104.952205631
40151,40152,2013495308.0,201349530854410,5441,0,TRAF - ACCIDENT               ,2013-10-14 06:20:00,,2013-10-14 06:48:00,CALIFORNIA ST / 22ND ST,3144829.0,1698764.0,-104.98491946,39.7507850245,6.0,621.0,Five Points,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,FAILED TO YIELD ROW,NO APPARENT,  ,BICYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-10-14 06:48:00.000000,39.7507850245,-104.98491946
40196,40197,2013509877.0,201350987754410,5441,0,TRAF - ACCIDENT               ,2013-10-22 18:55:00,,2013-10-22 19:17:00,E 11TH AVE / N LINCOLN ST,3144523.0,1692592.0,-104.986131878,39.7338465468,6.0,623.0,Capitol Hill,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,BICYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,OTHER,PASSENGER CAR/VAN,NORTHEAST,MAKING LEFT TURN,OTHER,NO APPARENT,OTHER,0.0,0.0,  ,  ,  ,  ,2013-10-22 19:17:00.000000,39.7338465468,-104.986131878
40252,40253,2013553247.0,201355324754410,5441,0,TRAF - ACCIDENT               ,2013-11-16 08:00:00,,2013-11-16 10:10:00,E MLK BLVD / N GENEVA CT,3177762.0,1702352.0,-104.867708728,39.7600637225,5.0,512.0,Stapleton,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,MAKING RIGHT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,BICYCLE,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-11-16 10:10:00.000000,39.7600637225,-104.867708728
40592,40593,2013556435.0,201355643554410,5441,0,TRAF - ACCIDENT               ,2013-11-18 08:30:00,,2013-11-18 10:34:00,W 44TH AVE / N GREEN CT,3133103.0,1708118.0,-105.026448473,39.7766383957,1.0,111.0,Berkeley,1.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,BICYCLE WITH OTHER VEHICLE,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,WEST,DROVE WRONG WAY,LANE VIOLATION,OTHER,  ,PASSENGER CAR/VAN,EAST,MAKING RIGHT TURN,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-11-18 10:34:00.000000,39.7766383957,-105.026448473
40790,40791,2013600192.0,201360019254410,5441,0,TRAF - ACCIDENT               ,2013-12-14 00:25:00,,2013-12-14 01:38:00.000001,N BANNOCK ST / W 14TH AVE,3143358.0,1694261.0,-104.990240784,39.7384462771,6.0,611.0,Civic Center,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,SUV,EAST,MAKING LEFT TURN,DISREGARDED OTHER DEVICE,  ,  ,BICYCLE,NORTH,GOING STRAIGHT,  ,  ,  ,0.0,0.0,  ,  ,  ,  ,2013-12-14 01:38:00.000001,39.7384462771,-104.990240784
41061,41062,2013573498.0,201357349854010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2013-11-27 22:45:00,,2013-11-28 00:07:00,E 13TH AVE / N OGDEN ST,3147565.0,1693708.0,-104.975293018,39.7368624368,6.0,623.0,Capitol Hill,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,HIT AND RUN UNKNOWN,WEST,MAKING LEFT TURN,IMPROPER TURN,AGGRESSIVE DRIVING,OTHER,BICYCLE,NORTH,STOPPED IN TRAFFIC,OTHER,NO APPARENT,OTHER,0.0,0.0,  ,  ,  ,  ,2013-11-28 00:07:00.000000,39.7368624368,-104.975293018
41115,41116,2013601096.0,201360109654410,5441,0,TRAF - ACCIDENT               ,2013-12-14 15:40:00.000001,,2013-12-14 15:40:00.000001,W EVANS AVE / S TEJON ST,3137629.0,1672446.0,-105.011029346,39.6786458954,4.0,422.0,College View - South Platte,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,BICYCLE,EAST,GOING STRAIGHT,  ,OTHER,  ,PICKUP TRUCK/UTILITY VAN,SOUTH,MAKING RIGHT TURN,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-12-14 15:40:00.000001,39.6786458954,-105.011029346
41273,41274,2013576268.0,201357626854413,5441,3,TRAF - ACCIDENT - POLICE      ,2013-11-29 22:25:00.000001,,2013-11-29 23:17:00,E 3RD AVE / N GRANT ST,3145208.0,1687903.0,-104.983791069,39.7209636791,3.0,311.0,Speer,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,BICYCLE,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-11-29 23:17:00.000000,39.7209636791,-104.983791069
42068,42069,2013608848.0,201360884854410,5441,0,TRAF - ACCIDENT               ,2013-12-19 16:55:00,,2013-12-19 17:11:00,E 26TH AVE / N HUMBOLDT ST,3149115.0,1700136.0,-104.969648269,39.7544836923,2.0,211.0,Whittier,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,SOUTH,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,BICYCLE,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-12-19 17:11:00.000000,39.7544836923,-104.969648269
42079,42080,2013609291.0,201360929154010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2013-12-19 09:00:00,,2013-12-19 11:43:00,E MISSISSIPPI AVE / S PARKER RD,3169572.0,1679058.0,-104.897388905,39.6962704942,3.0,321.0,Windsor,1.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,BICYCLE,SOUTHWEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-12-19 11:43:00.000000,39.6962704942,-104.897388905
42362,42363,201356728.0,20135672854410,5441,0,TRAF - ACCIDENT               ,2013-02-04 11:35:00,,2013-02-04 11:38:00,E EVANS AVE / S ST PAUL ST,3154573.0,1672462.0,-104.950831457,39.678424041,3.0,314.0,University Park,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,EAST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,DRIVER INEXPERIENCE,  ,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-02-04 11:38:00.000000,39.678424041,-104.950831457
42523,42524,2013628440.0,201362844054410,5441,0,TRAF - ACCIDENT               ,2013-12-31 14:59:00,,2013-12-31 14:59:00,W YALE AVE / S ZURICH CT,3126178.0,1668427.0,-105.051782412,39.6677748753,4.0,423.0,Harvey Park South,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,NORTH,MAKING RIGHT TURN,FAILED TO YIELD ROW,DISTRACTED-OTHER,OTHER,BICYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,OTHER,0.0,0.0,  ,  ,  ,  ,2013-12-31 14:59:00.000000,39.6677748753,-105.051782412
42539,42540,201335277.0,20133527754010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2013-01-22 16:13:00,,2013-01-22 16:44:00,W 14TH AVE / N PERRY ST,3129558.0,1694196.0,-105.039311768,39.7384701839,1.0,122.0,West Colfax,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,WEST,MAKING RIGHT TURN,CARELESS DRIVING,OTHER,  ,BICYCLE,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-01-22 16:44:00.000000,39.7384701839,-105.039311768
42599,42600,2013628442.0,201362844254410,5441,0,TRAF - ACCIDENT               ,2013-12-31 15:01:00,,2013-12-31 15:31:00,E LOUISIANA AVE / S UNIVERSITY BLVD,3152145.0,1677743.0,-104.959345816,39.6929615705,3.0,312.0,Washington Park,1.0,0.0,SIDE TO SIDE OPPOSITE DIRECTION WITH MV IN TRANSPORT,  ,SIDE TO SIDE OPPOSITE DIRECTION WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN,WEST,MAKING LEFT TURN,FAILED TO YIELD ROW,DISTRACTED-OTHER,  ,BICYCLE,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-12-31 15:31:00.000000,39.6929615705,-104.959345816
42618,42619,2013628994.0,201362899454410,5441,0,TRAF - ACCIDENT               ,2013-12-31 21:19:00,,2013-12-31 21:49:00,N DOWNING ST / PARK AVE,3148087.0,1696230.0,-104.973384965,39.7437774827,6.0,621.0,North Capitol Hill,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,SOUTH,MAKING LEFT TURN,FAILED TO YIELD ROW,OTHER,  ,BICYCLE,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-12-31 21:49:00.000000,39.7437774827,-104.973384965
42704,42705,20132991821.0,2013299182154410,5441,0,TRAF - ACCIDENT               ,2013-06-30 14:55:00.000001,,2013-06-30 17:55:00.000001,100 BLOCK W COLFAX AVE,3143749.0,1694958.0,-104.988836532,39.740353637,6.0,611.0,Civic Center,1.0,0.0,BICYCLE WITH OTHER VEHICLE,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,WEST,CHANGING LANES,LANE VIOLATION,NO APPARENT,OTHER,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,OTHER,1.0,0.0,  ,  ,BICYCLE,  ,2013-06-30 17:55:00.000001,39.740353637,-104.988836532
42999,43000,2013616463.0,201361646354410,5441,0,TRAF - ACCIDENT               ,2013-12-23 16:20:00,,2013-12-23 16:22:00,S BANNOCK ST / W ARCHER PL,3143486.0,1685974.0,-104.989951085,39.7156948864,3.0,311.0,Baker,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,  ,AT INTERSECTION,STRAIGHT ON-GRADE,WET,DAY LIGHT,BICYCLE,WEST,GOING STRAIGHT,DISREGARD STOP SIGN,NO APPARENT,  ,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-12-23 16:22:00.000000,39.7156948864,-104.989951085
43292,43293,2013604461.0,201360446154410,5441,0,TRAF - ACCIDENT               ,2013-12-16 17:05:00,,2013-12-16 17:05:00,1400 BLOCK N FRANKLIN ST,3149581.0,1694368.0,-104.968111011,39.7386420715,6.0,622.0,Cheesman Park,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-UNLIGHTED,BICYCLE,SOUTH,PASSING,IMPROPER PASSING ON RIGHT,NO APPARENT,  ,PASSENGER CAR/VAN,SOUTH,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-12-16 17:05:00.000000,39.7386420715,-104.968111011
43299,43300,2013604633.0,201360463354010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2013-12-16 19:01:00,,2013-12-16 20:34:00,E 17TH AVE / N FRANKLIN ST,3149476.0,1696041.0,-104.96844956,39.7432364377,6.0,622.0,City Park West,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,SUV,SOUTH,MAKING LEFT TURN,FAILED TO YIELD ROW,  ,  ,BICYCLE,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2013-12-16 20:34:00.000000,39.7432364377,-104.96844956
43392,43393,20134504.0,2013450454411,5441,1,TRAF - ACCIDENT - SBI         ,2013-01-03 19:07:00,,2013-01-03 19:46:00,S PARKER RD / E HARVARD AVE,3177840.0,1670499.0,-104.868219212,39.672619992,3.0,323.0,Hampden,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,BICYCLE,WEST,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,PASSENGER CAR/VAN,SOUTHEAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,2013-01-03 19:46:00.000000,39.672619992,-104.868219212
43412,43413,2013606001.0,201360600154410,5441,0,TRAF - ACCIDENT               ,2013-12-17 15:04:00,,2013-12-17 15:04:00,2140 S LEYDEN ST,3164436.0,1672204.0,-104.915796921,39.6775468716,3.0,323.0,Goldsmith,1.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON PRIVATE PROPERTY,PARKING LOT,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,SOUTHWEST,MAKING RIGHT TURN,OTHER,DRIVER UNFAMILIAR WITH AREA,  ,BICYCLE,NORTHEAST,MAKING LEFT TURN,OTHER,DRIVER UNFAMILIAR WITH AREA,  ,0.0,0.0,  ,  ,  ,  ,2013-12-17 15:04:00.000000,39.6775468716,-104.915796921
